wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
50.004,1782021556.1,8,"heading to waypoint #8 (3.6, -11.3)",ok,,7.024,-10.44,-68.8,-4.281,-15.663,-1,ok,-1,ok,78,ok,98,42,27,10,0,ok,98,98,60,0,36,ok,2.317,499
50.505,1782021556.601,8,"heading to waypoint #8 (3.6, -11.3)",ok,,7.033,-10.467,-76.4,-4.296,-15.687,-1,ok,-1,ok,85,ok,98,42,25,10,0,ok,98,98,60,0,36,ok,2.278,489
51.005,1782021557.1,8,"heading to waypoint #8 (3.6, -11.3)",ok,,7.04,-10.496,-78.6,-4.314,-15.711,-1,ok,-1,ok,77,ok,87,31,25,0,0,ok,87,87,60,1,24,ok,2.269,485
51.504,1782021557.6,9,"heading to waypoint #9 (1.7, -8.1)",ok,,7.079,-10.805,-83.6,-4.578,-16.015,-1,ok,-1,ok,61,ok,87,21,21,0,0,ok,87,87,60,1,24,ok,1.964,512
52.004,1782021558.1,9,"heading to waypoint #9 (1.7, -8.1)",ok,,7.265,-10.11,-67.6,-4.919,-16.233,-1,ok,-1,ok,55,ok,129,25,25,0,0,ok,129,129,91,0,30,ok,1.661,552
52.504,1782021558.6,9,"heading to waypoint #9 (1.7, -8.1)",ok,,7.45,-10.176,-64.8,-5.304,-16.333,-1,ok,-1,ok,0,ok,129,26,26,0,0,ok,129,129,91,0,30,ok,1.282,561
53.005,1782021559.101,9,"heading to waypoint #9 (1.7, -8.1)",ok,,7.789,-9.643,-48.5,-5.631,-16.363,-1,ok,-1,ok,0,ok,129,19,19,0,0,ok,129,129,91,0,30,ok,1.112,567
53.505,1782021559.601,9,"heading to waypoint #9 (1.7, -8.1)",ok,,8.213,-9.17,-61.8,-5.921,-16.28,-1,ok,-1,ok,0,ok,140,17,17,0,0,ok,140,140,91,0,41,ok,1.008,564
54.005,1782021560.1,9,"heading to waypoint #9 (1.7, -8.1)",ok,,8.278,-9.408,-81.7,-6.204,-16.035,-1,ok,-1,ok,0,ok,140,20,9,5,0,ok,140,140,91,0,41,ok,1.011,568
54.504,1782021560.6,9,"heading to waypoint #9 (1.7, -8.1)",ok,,8.287,-9.698,-94.2,-6.395,-15.666,-1,ok,-1,ok,0,ok,143,25,9,10,0,ok,143,143,91,0,44,ok,1.009,560
55.005,1782021561.1,9,"heading to waypoint #9 (1.7, -8.1)",ok,,8.244,-10.019,-98.8,-6.531,-15.282,-1,ok,-1,ok,0,ok,143,31,16,10,0,ok,143,143,91,0,44,ok,0.995,571
55.506,1782021561.602,9,"heading to waypoint #9 (1.7, -8.1)",ok,,8.041,-10.221,-115.9,-6.612,-14.901,-1,ok,-1,ok,0,ok,130,21,6,9,0,ok,130,130,91,0,31,ok,0.999,559
